industry_id,exiobase_sector,bea_sector_code,bea_sector_name,naics_code,aggregation_level
PADDY,Paddy rice,,,,detail
WHEAT,Wheat,,,,detail
CEREA,Cereal grains nec,,,,detail
VEGET,"Vegetables, fruit, nuts",,,,detail
OILSE,Oil seeds,,,,detail
SUGAR,"Sugar cane, sugar beet",,,,detail
PLANT,Plant-based fibers,,,,detail
CROPS,Crops nec,,,,detail
CATTL,Cattle,,,,detail
PIGS9,Pigs,,,,detail
POULT,Poultry,,,,detail
MEATA,Meat animals nec,,,,detail
ANIMA,Animal products nec,,,,detail
RAWMI,Raw milk,,,,detail
WOOLS,"Wool, silk-worm cocoons",,,,detail
MANUR,Manure (conventional treatment),,,,detail
MANU1,Manure (biogas treatment),,,,detail
FORES,"Products of forestry, logging and related services (02)",,,,detail
FISHF,Fish and other fishing products; services incidental of fishing (05),,,,detail
ANTHR,Anthracite,,,,detail
COKIN,Coking Coal,,,,detail
BITUM,Other Bituminous Coal,,,,detail
SUBBI,Sub-Bituminous Coal,,,,detail
PATEN,Patent Fuel,,,,detail
LIGNI,Lignite/Brown Coal,,,,detail
BKBPE,BKB/Peat Briquettes,,,,detail
PEAT2,Peat,,,,detail
CRUDE,"Crude petroleum and services related to crude oil extraction, excluding surveying",,,,detail
NATUR,"Natural gas and services related to natural gas extraction, excluding surveying",,,,detail
NATU1,Natural Gas Liquids,,,,detail
HYDRO,Other Hydrocarbons,,,,detail
URANI,Uranium and thorium ores (12),,,,detail
IRONO,Iron ores,,,,detail
COPPE,Copper ores and concentrates,,,,detail
NICKE,Nickel ores and concentrates,,,,detail
ALUMI,Aluminium ores and concentrates,,,,detail
PRECI,Precious metal ores and concentrates,,,,detail
LEADZ,"Lead, zinc and tin ores and concentrates",,,,detail
NONFE,Other non-ferrous metal ores and concentrates,,,,detail
STONE,Stone,,,,detail
SANDC,Sand and clay,,,,detail
CHEMI,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",,,,detail
MEATC,Products of meat cattle,,,,detail
MEATP,Products of meat pigs,,,,detail
MEAT1,Products of meat poultry,,,,detail
MEAT4,Meat products nec,,,,detail
VEGE1,products of Vegetable oils and fats,,,,detail
DAIRY,Dairy products,,,,detail
PROCE,Processed rice,,,,detail
SUGA1,Sugar,,,,detail
FOOD5,Food products nec,,,,detail
BEVER,Beverages,,,,detail
FISH5,Fish products,,,,detail
TOBAC,Tobacco products (16),,,,detail
TEXTI,Textiles (17),,,,detail
WEARI,Wearing apparel; furs (18),,,,detail
LEATH,Leather and leather products (19),,,,detail
WOODW,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),,,,detail
WOODM,"Wood material for treatment, Re-processing of secondary wood material into new wood material",,,,detail
PULP5,Pulp,,,,detail
SECON,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",,,,detail
PAPER,Paper and paper products,,,,detail
PRINT,Printed matter and recorded media (22),,,,detail
COKEO,Coke Oven Coke,,,,detail
GASCO,Gas Coke,,,,detail
COALT,Coal Tar,,,,detail
MOTOR,Motor Gasoline,,,,detail
AVIAT,Aviation Gasoline,,,,detail
GASOL,Gasoline Type Jet Fuel,,,,detail
KEROS,Kerosene Type Jet Fuel,,,,detail
KERO1,Kerosene,,,,detail
GASDI,Gas/Diesel Oil,,,,detail
HEAVY,Heavy Fuel Oil,,,,detail
REFIN,Refinery Gas,,,,detail
LIQUE,Liquefied Petroleum Gases (LPG),,,,detail
REFI1,Refinery Feedstocks,,,,detail
ETHAN,Ethane,,,,detail
NAPHT,Naphtha,,,,detail
WHITE,White Spirit & SBP,,,,detail
LUBRI,Lubricants,,,,detail
BITU1,Bitumen,,,,detail
PARAF,Paraffin Waxes,,,,detail
PETRO,Petroleum Coke,,,,detail
NONSP,Non-specified Petroleum Products,,,,detail
NUCLE,Nuclear fuel,,,,detail
PLAST,"Plastics, basic",,,,detail
SECO1,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",,,,detail
NFERT,N-fertiliser,,,,detail
PFERT,P- and other fertiliser,,,,detail
CHEM1,Chemicals nec,,,,detail
CHARC,Charcoal,,,,detail
ADDIT,Additives/Blending Components,,,,detail
BIOGA,Biogasoline,,,,detail
BIODI,Biodiesels,,,,detail
LIQUI,Other Liquid Biofuels,,,,detail
RUBBE,Rubber and plastic products (25),,,,detail
GLASS,Glass and glass products,,,,detail
SECO2,"Secondary glass for treatment, Re-processing of secondary glass into new glass",,,,detail
CERAM,Ceramic goods,,,,detail
BRICK,"Bricks, tiles and construction products, in baked clay",,,,detail
CEMEN,"Cement, lime and plaster",,,,detail
ASHFO,"Ash for treatment, Re-processing of ash into clinker",,,,detail
NONME,Other non-metallic mineral products,,,,detail
BASIC,Basic iron and steel and of ferro-alloys and first products thereof,,,,detail
SECO3,"Secondary steel for treatment, Re-processing of secondary steel into new steel",,,,detail
PREC1,Precious metals,,,,detail
SECO4,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",,,,detail
ALUM1,Aluminium and aluminium products,,,,detail
SECO5,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",,,,detail
LEAD1,"Lead, zinc and tin and products thereof",,,,detail
SECO6,"Secondary lead for treatment, Re-processing of secondary lead into new lead",,,,detail
COPP1,Copper products,,,,detail
SECO7,"Secondary copper for treatment, Re-processing of secondary copper into new copper",,,,detail
NONF1,Other non-ferrous metal products,,,,detail
SECO8,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",,,,detail
FOUND,Foundry work services,,,,detail
FABRI,"Fabricated metal products, except machinery and equipment (28)",,,,detail
MACHI,Machinery and equipment n.e.c. (29),,,,detail
OFFIC,Office machinery and computers (30),,,,detail
ELECT,Electrical machinery and apparatus n.e.c. (31),,,,detail
RADIO,"Radio, television and communication equipment and apparatus (32)",,,,detail
MEDIC,"Medical, precision and optical instruments, watches and clocks (33)",,,,detail
MOTO1,"Motor vehicles, trailers and semi-trailers (34)",,,,detail
TRANS,Other transport equipment (35),,,,detail
FURNI,Furniture; other manufactured goods n.e.c. (36),,,,detail
SECO9,Secondary raw materials,,,,detail
BOTTL,"Bottles for treatment, Recycling of bottles by direct reuse",,,,detail
ELEC1,Electricity by coal,,,,detail
ELEC2,Electricity by gas,,,,detail
ELEC3,Electricity by nuclear,,,,detail
ELEC4,Electricity by hydro,,,,detail
ELEC5,Electricity by wind,,,,detail
ELEC6,Electricity by petroleum and other oil derivatives,,,,detail
ELEC7,Electricity by biomass and waste,,,,detail
ELEC8,Electricity by solar photovoltaic,,,,detail
ELEC9,Electricity by solar thermal,,,,detail
ELE10,"Electricity by tide, wave, ocean",,,,detail
ELE11,Electricity by Geothermal,,,,detail
ELE12,Electricity nec,,,,detail
TRAN1,Transmission services of electricity,,,,detail
DISTR,Distribution and trade services of electricity,,,,detail
COKE1,Coke oven gas,,,,detail
BLAST,Blast Furnace Gas,,,,detail
OXYGE,Oxygen Steel Furnace Gas,,,,detail
GASWO,Gas Works Gas,,,,detail
BIOG1,Biogas,,,,detail
DIST1,Distribution services of gaseous fuels through mains,,,,detail
STEAM,Steam and hot water supply services,,,,detail
COLLE,"Collected and purified water, distribution services of water (41)",,,,detail
CONST,Construction work (45),,,,detail
SEC10,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",,,,detail
SALEM,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",,,,detail
RETAI,Retail trade services of motor fuel,,,,detail
WHOLE,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",,,,detail
RETA1,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",,,,detail
HOTEL,Hotel and restaurant services (55),,,,detail
RAILW,Railway transportation services,,,,detail
LANDT,Other land transportation services,,,,detail
TRAN2,Transportation services via pipelines,,,,detail
SEACO,Sea and coastal water transportation services,,,,detail
INLAN,Inland water transportation services,,,,detail
AIRTR,Air transport services (62),,,,detail
SUPPO,Supporting and auxiliary transport services; travel agency services (63),,,,detail
POSTT,Post and telecommunication services (64),,,,detail
FINAN,"Financial intermediation services, except insurance and pension funding services (65)",,,,detail
INSUR,"Insurance and pension funding services, except compulsory social security services (66)",,,,detail
AUXIL,Services auxiliary to financial intermediation (67),,,,detail
REALE,Real estate services (70),,,,detail
RENTI,Renting services of machinery and equipment without operator and of personal and household goods (71),,,,detail
COMPU,Computer and related services (72),,,,detail
RESEA,Research and development services (73),,,,detail
BUSIN,Other business services (74),,,,detail
PUBLI,Public administration and defence services; compulsory social security services (75),,,,detail
EDUCA,Education services (80),,,,detail
HEALT,Health and social work services (85),,,,detail
FOODW,Food waste for treatment: incineration,,,,detail
PAPE1,Paper waste for treatment: incineration,,,,detail
PLAS1,Plastic waste for treatment: incineration,,,,detail
INTER,Intert/metal waste for treatment: incineration,,,,detail
TEXT1,Textiles waste for treatment: incineration,,,,detail
WOOD1,Wood waste for treatment: incineration,,,,detail
OILHA,Oil/hazardous waste for treatment: incineration,,,,detail
FOOD1,Food waste for treatment: biogasification and land application,,,,detail
PAPE2,Paper waste for treatment: biogasification and land application,,,,detail
SEWAG,Sewage sludge for treatment: biogasification and land application,,,,detail
FOOD2,Food waste for treatment: composting and land application,,,,detail
PAPE3,Paper and wood waste for treatment: composting and land application,,,,detail
FOOD3,Food waste for treatment: waste water treatment,,,,detail
WASTE,Other waste for treatment: waste water treatment,,,,detail
FOOD4,Food waste for treatment: landfill,,,,detail
PAPE4,Paper for treatment: landfill,,,,detail
PLAS2,Plastic waste for treatment: landfill,,,,detail
INERT,Inert/metal/hazardous waste for treatment: landfill,,,,detail
TEXT2,Textiles waste for treatment: landfill,,,,detail
WOOD2,Wood waste for treatment: landfill,,,,detail
MEMBE,Membership organisation services n.e.c. (91),,,,detail
RECRE,"Recreational, cultural and sporting services (92)",,,,detail
93197,Other services (93),,,,detail
PRIVA,Private households with employed persons (95),,,,detail
EXTRA,Extra-territorial organizations and bodies,,,,detail
